[fileType],Electrode
[electrodeType],DIXI10
[trajectory],Electrode_5,5.78801,-49.4746,62.1948,24.4033,-48.4746,67.7896,0,
[contact],Electrode_51,0,6.74442,-49.4233,62.4823,,0,-1,0,
[contact],Electrode_52,1,10.0919,-49.2434,63.4883,,0,-1,0,
[contact],Electrode_53,2,13.4393,-49.0636,64.4944,,0,-1,0,
[contact],Electrode_54,3,16.7868,-48.8838,65.5005,,0,-1,0,
[contact],Electrode_55,4,20.1343,-48.704,66.5065,,0,-1,0,
[contact],Electrode_56,5,23.4817,-48.5241,67.5126,,0,-1,0,
[contact],Electrode_57,6,26.8292,-48.3443,68.5187,,0,-1,0,
[contact],Electrode_58,7,30.1766,-48.1645,69.5247,,0,-1,0,
[contact],Electrode_59,8,33.5241,-47.9847,70.5308,,0,-1,0,
[contact],Electrode_510,9,36.8716,-47.8048,71.5369,,0,-1,0,
[channel],Electrode_51-2,0,6.74442,-49.4233,62.4823,10.0919,-49.2434,63.4883,,0,-1,0,
[channel],Electrode_52-3,1,10.0919,-49.2434,63.4883,13.4393,-49.0636,64.4944,,0,-1,0,
[channel],Electrode_53-4,2,13.4393,-49.0636,64.4944,16.7868,-48.8838,65.5005,,0,-1,0,
[channel],Electrode_54-5,3,16.7868,-48.8838,65.5005,20.1343,-48.704,66.5065,,0,-1,0,
[channel],Electrode_55-6,4,20.1343,-48.704,66.5065,23.4817,-48.5241,67.5126,,0,-1,0,
[channel],Electrode_56-7,5,23.4817,-48.5241,67.5126,26.8292,-48.3443,68.5187,,0,-1,0,
[channel],Electrode_57-8,6,26.8292,-48.3443,68.5187,30.1766,-48.1645,69.5247,,0,-1,0,
[channel],Electrode_58-9,7,30.1766,-48.1645,69.5247,33.5241,-47.9847,70.5308,,0,-1,0,
[channel],Electrode_59-10,8,33.5241,-47.9847,70.5308,36.8716,-47.8048,71.5369,,0,-1,0,
[order],ContactName,indexContact,X,Y,Z,Location,ProbaOfLocation,IsLocSet
[order],ChannelName,indexChannel,X1,Y1,Z1,X2,Y2,Z2,Location,ProbaOfLocation,IsLocSet
