[fileType],Electrode
[electrodeType],DIXI10
[trajectory],Electrode_3,38.4991,-11.6127,-2.56363,66.7603,-7.6127,4.5296,0,
[contact],Electrode_31,0,39.46,-11.4767,-2.32245,,0,-1,0,
[contact],Electrode_32,1,42.8231,-11.0007,-1.47834,,0,-1,0,
[contact],Electrode_33,2,46.1863,-10.5247,-0.634221,,0,-1,0,
[contact],Electrode_34,3,49.5495,-10.0487,0.209893,,0,-1,0,
[contact],Electrode_35,4,52.9126,-9.57265,1.05401,,0,-1,0,
[contact],Electrode_36,5,56.2758,-9.09664,1.89812,,0,-1,0,
[contact],Electrode_37,6,59.639,-8.62062,2.74224,,0,-1,0,
[contact],Electrode_38,7,63.0021,-8.14461,3.58635,,0,-1,0,
[contact],Electrode_39,8,66.3653,-7.6686,4.43047,,0,-1,0,
[contact],Electrode_310,9,69.7285,-7.19259,5.27458,,0,-1,0,
[channel],Electrode_31-2,0,39.46,-11.4767,-2.32245,42.8231,-11.0007,-1.47834,,0,-1,0,
[channel],Electrode_32-3,1,42.8231,-11.0007,-1.47834,46.1863,-10.5247,-0.634221,,0,-1,0,
[channel],Electrode_33-4,2,46.1863,-10.5247,-0.634221,49.5495,-10.0487,0.209893,,0,-1,0,
[channel],Electrode_34-5,3,49.5495,-10.0487,0.209893,52.9126,-9.57265,1.05401,,0,-1,0,
[channel],Electrode_35-6,4,52.9126,-9.57265,1.05401,56.2758,-9.09664,1.89812,,0,-1,0,
[channel],Electrode_36-7,5,56.2758,-9.09664,1.89812,59.639,-8.62062,2.74224,,0,-1,0,
[channel],Electrode_37-8,6,59.639,-8.62062,2.74224,63.0021,-8.14461,3.58635,,0,-1,0,
[channel],Electrode_38-9,7,63.0021,-8.14461,3.58635,66.3653,-7.6686,4.43047,,0,-1,0,
[channel],Electrode_39-10,8,66.3653,-7.6686,4.43047,69.7285,-7.19259,5.27458,,0,-1,0,
[order],ContactName,indexContact,X,Y,Z,Location,ProbaOfLocation,IsLocSet
[order],ChannelName,indexChannel,X1,Y1,Z1,X2,Y2,Z2,Location,ProbaOfLocation,IsLocSet
