[fileType],Electrode
[electrodeType],DIXI15
[trajectory],AMYG,17.1701,21.0282,-23.8999,61.382,21.0282,-7.95467,0,
[contact],AMYG1,0,17.6404,21.0282,-23.7303,,0,-1,0,
[contact],AMYG2,1,22.3439,21.0282,-22.034,,0,-1,0,
[contact],AMYG3,2,27.0473,21.0282,-20.3377,,0,-1,0,
[contact],AMYG4,3,31.7508,21.0282,-18.6413,,0,-1,0,
[contact],AMYG5,4,36.4542,21.0282,-16.945,,0,-1,0,
[contact],AMYG6,5,41.1577,21.0282,-15.2487,,0,-1,0,
[contact],AMYG7,6,45.8611,21.0282,-13.5523,,0,-1,0,
[contact],AMYG8,7,50.5646,21.0282,-11.856,,0,-1,0,
[contact],AMYG9,8,55.268,21.0282,-10.1597,,0,-1,0,
[channel],AMYG1-2,0,17.6404,21.0282,-23.7303,22.3439,21.0282,-22.034,,0,-1,0,
[channel],AMYG2-3,1,22.3439,21.0282,-22.034,27.0473,21.0282,-20.3377,,0,-1,0,
[channel],AMYG3-4,2,27.0473,21.0282,-20.3377,31.7508,21.0282,-18.6413,,0,-1,0,
[channel],AMYG4-5,3,31.7508,21.0282,-18.6413,36.4542,21.0282,-16.945,,0,-1,0,
[channel],AMYG5-6,4,36.4542,21.0282,-16.945,41.1577,21.0282,-15.2487,,0,-1,0,
[channel],AMYG6-7,5,41.1577,21.0282,-15.2487,45.8611,21.0282,-13.5523,,0,-1,0,
[channel],AMYG7-8,6,45.8611,21.0282,-13.5523,50.5646,21.0282,-11.856,,0,-1,0,
[channel],AMYG8-9,7,50.5646,21.0282,-11.856,55.268,21.0282,-10.1597,,0,-1,0,
[order],ContactName,indexContact,X,Y,Z,Location,ProbaOfLocation,IsLocSet
[order],ChannelName,indexChannel,X1,Y1,Z1,X2,Y2,Z2,Location,ProbaOfLocation,IsLocSet
