[fileType],Electrode
[electrodeType],DIXI15
[trajectory],SMA,4.84871,21.0282,43.5051,28.0418,10.0282,53.6521,0,
[contact],SMA1,0,5.26884,20.8289,43.6889,,0,-1,0,
[contact],SMA2,1,9.47016,18.8363,45.527,,0,-1,0,
[contact],SMA3,2,13.6715,16.8437,47.3651,,0,-1,0,
[contact],SMA4,3,17.8728,14.8511,49.2031,,0,-1,0,
[contact],SMA5,4,22.0741,12.8585,51.0412,,0,-1,0,
[contact],SMA6,5,26.2754,10.8659,52.8793,,0,-1,0,
[contact],SMA7,6,30.4767,8.87335,54.7174,,0,-1,0,
[contact],SMA8,7,34.6781,6.88075,56.5554,,0,-1,0,
[contact],SMA9,8,38.8794,4.88816,58.3935,,0,-1,0,
[channel],SMA1-2,0,5.26884,20.8289,43.6889,9.47016,18.8363,45.527,,0,-1,0,
[channel],SMA2-3,1,9.47016,18.8363,45.527,13.6715,16.8437,47.3651,,0,-1,0,
[channel],SMA3-4,2,13.6715,16.8437,47.3651,17.8728,14.8511,49.2031,,0,-1,0,
[channel],SMA4-5,3,17.8728,14.8511,49.2031,22.0741,12.8585,51.0412,,0,-1,0,
[channel],SMA5-6,4,22.0741,12.8585,51.0412,26.2754,10.8659,52.8793,,0,-1,0,
[channel],SMA6-7,5,26.2754,10.8659,52.8793,30.4767,8.87335,54.7174,,0,-1,0,
[channel],SMA7-8,6,30.4767,8.87335,54.7174,34.6781,6.88075,56.5554,,0,-1,0,
[channel],SMA8-9,7,34.6781,6.88075,56.5554,38.8794,4.88816,58.3935,,0,-1,0,
[order],ContactName,indexContact,X,Y,Z,Location,ProbaOfLocation,IsLocSet
[order],ChannelName,indexChannel,X1,Y1,Z1,X2,Y2,Z2,Location,ProbaOfLocation,IsLocSet
