[fileType],Electrode
[electrodeType],DIXI15
[trajectory],LHC,24.4179,0.982027,-18.8264,68.6298,0.982027,-23.1752,0,
[contact],LHC1,0,25.4131,0.982027,-18.9243,,0,-1,0,
[contact],LHC2,1,28.8963,0.982027,-19.2669,,0,-1,0,
[contact],LHC3,2,32.3795,0.982027,-19.6096,,0,-1,0,
[contact],LHC4,3,35.8627,0.982027,-19.9522,,0,-1,0,
[contact],LHC5,4,39.3459,0.982027,-20.2948,,0,-1,0,
[contact],LHC6,5,42.8291,0.982027,-20.6374,,0,-1,0,
[contact],LHC7,6,46.3123,0.982027,-20.98,,0,-1,0,
[contact],LHC8,7,49.7955,0.982027,-21.3226,,0,-1,0,
[contact],LHC9,8,53.2786,0.982027,-21.6652,,0,-1,0,
[contact],LHC10,9,56.7618,0.982027,-22.0078,,0,-1,0,
[contact],LHC11,10,60.245,0.982027,-22.3504,,0,-1,0,
[contact],LHC12,11,63.7282,0.982027,-22.693,,0,-1,0,
[contact],LHC13,12,67.2114,0.982027,-23.0356,,0,-1,0,
[contact],LHC14,13,70.6946,0.982027,-23.3783,,0,-1,0,
[contact],LHC15,14,74.1778,0.982027,-23.7209,,0,-1,0,
[channel],LHC1-2,0,25.4131,0.982027,-18.9243,28.8963,0.982027,-19.2669,,0,-1,0,
[channel],LHC2-3,1,28.8963,0.982027,-19.2669,32.3795,0.982027,-19.6096,,0,-1,0,
[channel],LHC3-4,2,32.3795,0.982027,-19.6096,35.8627,0.982027,-19.9522,,0,-1,0,
[channel],LHC4-5,3,35.8627,0.982027,-19.9522,39.3459,0.982027,-20.2948,,0,-1,0,
[channel],LHC5-6,4,39.3459,0.982027,-20.2948,42.8291,0.982027,-20.6374,,0,-1,0,
[channel],LHC6-7,5,42.8291,0.982027,-20.6374,46.3123,0.982027,-20.98,,0,-1,0,
[channel],LHC7-8,6,46.3123,0.982027,-20.98,49.7955,0.982027,-21.3226,,0,-1,0,
[channel],LHC8-9,7,49.7955,0.982027,-21.3226,53.2786,0.982027,-21.6652,,0,-1,0,
[channel],LHC9-10,8,53.2786,0.982027,-21.6652,56.7618,0.982027,-22.0078,,0,-1,0,
[channel],LHC10-11,9,56.7618,0.982027,-22.0078,60.245,0.982027,-22.3504,,0,-1,0,
[channel],LHC11-12,10,60.245,0.982027,-22.3504,63.7282,0.982027,-22.693,,0,-1,0,
[channel],LHC12-13,11,63.7282,0.982027,-22.693,67.2114,0.982027,-23.0356,,0,-1,0,
[channel],LHC13-14,12,67.2114,0.982027,-23.0356,70.6946,0.982027,-23.3783,,0,-1,0,
[channel],LHC14-15,13,70.6946,0.982027,-23.3783,74.1778,0.982027,-23.7209,,0,-1,0,
[order],ContactName,indexContact,X,Y,Z,Location,ProbaOfLocation,IsLocSet
[order],ChannelName,indexChannel,X1,Y1,Z1,X2,Y2,Z2,Location,ProbaOfLocation,IsLocSet
