[fileType],Electrode
[electrodeType],DIXI15
[trajectory],Electrode_2,47.2404,7.54342,9.10664,44.2404,-12.2097,55.3288,0,
[contact],Electrode_21,0,47.1808,7.15114,10.0246,,0,-1,0,
[contact],Electrode_22,1,46.9723,5.77818,13.2373,,0,-1,0,
[contact],Electrode_23,2,46.7638,4.40522,16.45,,0,-1,0,
[contact],Electrode_24,3,46.5553,3.03227,19.6627,,0,-1,0,
[contact],Electrode_25,4,46.3468,1.65931,22.8754,,0,-1,0,
[contact],Electrode_26,5,46.1383,0.286349,26.0881,,0,-1,0,
[contact],Electrode_27,6,45.9297,-1.08661,29.3008,,0,-1,0,
[contact],Electrode_28,7,45.7212,-2.45957,32.5135,,0,-1,0,
[contact],Electrode_29,8,45.5127,-3.83253,35.7262,,0,-1,0,
[contact],Electrode_210,9,45.3042,-5.20548,38.9389,,0,-1,0,
[contact],Electrode_211,10,45.0957,-6.57844,42.1517,,0,-1,0,
[contact],Electrode_212,11,44.8871,-7.9514,45.3644,,0,-1,0,
[contact],Electrode_213,12,44.6786,-9.32436,48.5771,,0,-1,0,
[contact],Electrode_214,13,44.4701,-10.6973,51.7898,,0,-1,0,
[contact],Electrode_215,14,44.2616,-12.0703,55.0025,,0,-1,0,
[channel],Electrode_21-2,0,47.1808,7.15114,10.0246,46.9723,5.77818,13.2373,,0,-1,0,
[channel],Electrode_22-3,1,46.9723,5.77818,13.2373,46.7638,4.40522,16.45,,0,-1,0,
[channel],Electrode_23-4,2,46.7638,4.40522,16.45,46.5553,3.03227,19.6627,,0,-1,0,
[channel],Electrode_24-5,3,46.5553,3.03227,19.6627,46.3468,1.65931,22.8754,,0,-1,0,
[channel],Electrode_25-6,4,46.3468,1.65931,22.8754,46.1383,0.286349,26.0881,,0,-1,0,
[channel],Electrode_26-7,5,46.1383,0.286349,26.0881,45.9297,-1.08661,29.3008,,0,-1,0,
[channel],Electrode_27-8,6,45.9297,-1.08661,29.3008,45.7212,-2.45957,32.5135,,0,-1,0,
[channel],Electrode_28-9,7,45.7212,-2.45957,32.5135,45.5127,-3.83253,35.7262,,0,-1,0,
[channel],Electrode_29-10,8,45.5127,-3.83253,35.7262,45.3042,-5.20548,38.9389,,0,-1,0,
[channel],Electrode_210-11,9,45.3042,-5.20548,38.9389,45.0957,-6.57844,42.1517,,0,-1,0,
[channel],Electrode_211-12,10,45.0957,-6.57844,42.1517,44.8871,-7.9514,45.3644,,0,-1,0,
[channel],Electrode_212-13,11,44.8871,-7.9514,45.3644,44.6786,-9.32436,48.5771,,0,-1,0,
[channel],Electrode_213-14,12,44.6786,-9.32436,48.5771,44.4701,-10.6973,51.7898,,0,-1,0,
[channel],Electrode_214-15,13,44.4701,-10.6973,51.7898,44.2616,-12.0703,55.0025,,0,-1,0,
[order],ContactName,indexContact,X,Y,Z,Location,ProbaOfLocation,IsLocSet
[order],ChannelName,indexChannel,X1,Y1,Z1,X2,Y2,Z2,Location,ProbaOfLocation,IsLocSet
